number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
54,1.7572290942028679,2026-02-12 23:45:42.929775,2026-02-12 23:46:05.209373,0 days 00:00:22.279598,0.5367025199453445,664,9.415778008184573,depthwise,0.006322687768397222,8,11,,2.8210122257051657,2.0240136977672293e-08,9.936906115285751,0.8771955485225271,COMPLETE
55,1.7556860227229043,2026-02-12 23:45:44.646970,2026-02-12 23:46:08.152730,0 days 00:00:23.505760,0.5418080002125565,762,9.294388143131094,depthwise,0.006285847510182307,5,10,,2.8277572277588967,1.8134964785583008e-08,9.815903475200445,0.8833179562898174,COMPLETE
56,1.765062508618974,2026-02-12 23:45:45.200643,2026-02-12 23:46:04.235927,0 days 00:00:19.035284,0.5390439186919305,755,9.667973268500344,depthwise,0.03196907579359872,8,11,,2.4033563236519653,3.701994372563805e-05,9.20575659668669,0.7625146908196049,PRUNED
57,1.7626701546161632,2026-02-12 23:45:46.897689,2026-02-12 23:46:05.007368,0 days 00:00:18.109679,0.5340450353896543,773,8.30295784564207,depthwise,0.030535190016080484,5,11,,2.6539506879798163,2.766421434073336e-08,7.240591026163778,0.883478314105333,COMPLETE
58,1.7617988452949123,2026-02-12 23:45:49.215882,2026-02-12 23:46:08.153726,0 days 00:00:18.937844,0.535275513659644,714,9.862208248295953,depthwise,0.03158372639310317,7,10,,2.7516558348629325,2.9066363548321442e-08,8.873438882278776,0.8771456803160911,COMPLETE
59,1.7648391651398563,2026-02-12 23:45:50.675680,2026-02-12 23:46:10.036664,0 days 00:00:19.360984,0.5384828382267528,255,9.434315781017093,depthwise,0.037319528627939136,7,10,,1.17514475005477,3.08438347723881e-08,9.696163209330168,0.7287662002919618,PRUNED
60,1.7622559161460807,2026-02-12 23:45:51.439432,2026-02-12 23:46:09.658433,0 days 00:00:18.219001,0.5330245871861039,257,9.950207966921015,depthwise,0.033814284324835915,7,10,,6.225716888444864,2.8334580461442725e-08,11.097621858800492,0.8777352587209998,COMPLETE
61,1.7552115637534773,2026-02-12 23:46:04.229612,2026-02-12 23:46:26.691440,0 days 00:00:22.461828,0.5404355940944039,322,8.19810798732694,depthwise,0.005971787800143423,7,10,,1.1956059655949114,3.0333368729980166e-05,10.78197311077132,0.8751119291424682,COMPLETE
62,1.756590065936769,2026-02-12 23:46:04.349720,2026-02-12 23:46:27.263431,0 days 00:00:22.913711,0.7353500801779969,659,9.961849825496758,depthwise,0.006139439828327184,7,10,,1.2107565161237392,1.552993899254298e-06,10.949025544889768,0.8823441048962533,COMPLETE
63,1.7614100025556036,2026-02-12 23:46:05.088004,2026-02-12 23:46:45.841068,0 days 00:00:40.753064,0.8936167657543078,254,8.341424863680892,depthwise,0.005960422075093037,7,10,,15.51628869543032,2.3031128780733814e-06,55.05341574398631,0.7165171783987995,COMPLETE
64,1.763851286128459,2026-02-12 23:46:05.414088,2026-02-12 23:46:29.070783,0 days 00:00:23.656695,0.6157972956939438,657,8.033253202361177,depthwise,0.006210748875218455,7,4,,5.261613672610751,3.5198967045089697e-06,11.305299131282247,0.7226930247942235,PRUNED
65,1.7569283818318684,2026-02-12 23:46:08.219629,2026-02-12 23:46:33.197428,0 days 00:00:24.977799,0.6188062932126772,686,8.29049335383597,depthwise,0.005983052396230358,6,10,,5.927963768646508,2.834557965687374e-06,11.813439128721347,0.7399679802787815,COMPLETE
66,1.759693813464513,2026-02-12 23:46:08.255758,2026-02-12 23:46:33.836603,0 days 00:00:25.580845,0.8934054707422521,516,8.280518696048375,depthwise,0.005950885454330385,6,10,,5.7764555605254735,1.811844679273369e-05,11.401847924613541,0.8181141168680293,COMPLETE
67,1.758658624568199,2026-02-12 23:46:09.755105,2026-02-12 23:46:36.311151,0 days 00:00:26.556046,0.6185670574661258,659,8.241508832769568,depthwise,0.005993208682590918,6,10,,15.34361593057291,3.357635735589289e-06,52.991591247981226,0.7257114886415206,COMPLETE
68,1.7608712605307502,2026-02-12 23:46:10.124431,2026-02-12 23:46:30.514930,0 days 00:00:20.390499,0.6307515692818807,656,8.467178717151167,depthwise,0.0058452016752577095,6,4,,5.583953044810971,1.983937737691739e-06,26.334804084876936,0.8182004277106805,COMPLETE
69,1.7648016482447144,2026-02-12 23:46:26.757083,2026-02-12 23:46:49.958000,0 days 00:00:23.200917,0.9065712231492452,658,8.158363288260047,depthwise,0.005966973403860422,6,11,,5.344551379805943,4.62144968314136e-06,5.267462909634793,0.8946875632057298,PRUNED
70,1.7546235943817978,2026-02-12 23:46:27.350711,2026-02-12 23:46:49.867378,0 days 00:00:22.516667,0.621320103944222,661,8.264300383213737,depthwise,0.006366409826071094,6,10,,5.420348112229928,9.279860242268738e-06,51.43679233813689,0.9088472549856186,COMPLETE
71,1.761186077193548,2026-02-12 23:46:29.167243,2026-02-12 23:46:54.345485,0 days 00:00:25.178242,0.9536011794368235,509,8.55302355908427,depthwise,0.005517339811998597,6,10,,0.5964020604047144,0.00011832624778100495,5.096299199522762,0.8106057814019293,COMPLETE
72,1.761900946154595,2026-02-12 23:46:30.584552,2026-02-12 23:46:52.782789,0 days 00:00:22.198237,0.9213001330392236,309,9.034216689325069,depthwise,0.006786069032597511,6,10,,1.2718157507661971,4.2930108610997e-05,5.678881498250647,0.9108810619729265,PRUNED
73,1.759559768645252,2026-02-12 23:46:33.256216,2026-02-12 23:46:54.821755,0 days 00:00:21.565539,0.6163325269391728,694,7.688148456103068,depthwise,0.006784847324062708,6,10,,1.4232783645173082,1.667165112408597e-05,5.362321881593824,0.9623268081491015,COMPLETE
74,1.7575599211195927,2026-02-12 23:46:33.927975,2026-02-12 23:46:57.622643,0 days 00:00:23.694668,0.5804639925185942,336,7.426838768952814,depthwise,0.0050478366080668104,6,10,,12.626848840178058,0.0001582893758182194,4.497521647947525,0.9126394545216533,COMPLETE
75,1.7648885262653486,2026-02-12 23:46:36.379194,2026-02-12 23:47:09.456225,0 days 00:00:33.077031,0.8519844208834673,313,7.647063431845274,depthwise,0.006801529593091568,5,10,,0.6068451228535995,0.0003426716602795022,3.822252131557725,0.916762410607907,PRUNED
